,Unnamed: 0_x,customerEmail,transactionId,orderId,paymentMethodId,paymentMethodRegistrationFailure,paymentMethodType,paymentMethodProvider,transactionAmount,transactionFailed,orderState,Unnamed: 0_y,customerPhone,customerDevice,customerIPAddress,customerBillingAddress,No_Transactions,No_Orders,No_Payments,Fraud,State
0,0,josephhoward@yahoo.com,a9lcj51r,vjbdvd,wt07xm68b,1,card,JCB 16 digit,18,0,pending,0,400-108-5415,yyeiaxpltf82440jnb3v,8.129.104.40,"5493 Jones Islands
Brownside, CA 51896",2,2,1,False,CA
1,1,josephhoward@yahoo.com,y4wcv03i,yp6x27,wt07xm68b,1,card,JCB 16 digit,26,0,fulfilled,0,400-108-5415,yyeiaxpltf82440jnb3v,8.129.104.40,"5493 Jones Islands
Brownside, CA 51896",2,2,1,False,CA
2,2,evansjeffery@yahoo.com,5mi94sfw,nlghpa,41ug157xz,0,bitcoin,American Express,45,0,fulfilled,1,1-788-091-7546,r0jpm7xaeqqa3kr6mzum,219.173.211.202,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",3,3,7,True,NM
3,3,evansjeffery@yahoo.com,br8ba1nu,uw0eeb,41ug157xz,0,bitcoin,American Express,23,0,fulfilled,1,1-788-091-7546,r0jpm7xaeqqa3kr6mzum,219.173.211.202,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",3,3,7,True,NM
4,4,evansjeffery@yahoo.com,a33145ss,bn44oh,y3xp697jx,1,bitcoin,VISA 16 digit,43,1,fulfilled,1,1-788-091-7546,r0jpm7xaeqqa3kr6mzum,219.173.211.202,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",3,3,7,True,NM
5,5,andersonwilliam@yahoo.com,q3lyvbza,yk34y2,8pneoi03z,0,card,JCB 16 digit,33,0,failed,2,024.420.0375,4m7h5ipl1shyavt6vv2r,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",5,3,2,False,PR
6,6,andersonwilliam@yahoo.com,3alf9irw,28v6b0,8pneoi03z,0,card,JCB 16 digit,24,1,fulfilled,2,024.420.0375,4m7h5ipl1shyavt6vv2r,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",5,3,2,False,PR
7,7,andersonwilliam@yahoo.com,69w9wymx,28v6b0,8pneoi03z,0,card,JCB 16 digit,24,0,fulfilled,2,024.420.0375,4m7h5ipl1shyavt6vv2r,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",5,3,2,False,PR
8,8,andersonwilliam@yahoo.com,pegqc4ud,itnk8y,dluy3jka0,0,card,Discover,25,1,fulfilled,2,024.420.0375,4m7h5ipl1shyavt6vv2r,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",5,3,2,False,PR
9,9,andersonwilliam@yahoo.com,uo3slwh7,itnk8y,8pneoi03z,0,card,JCB 16 digit,25,0,fulfilled,2,024.420.0375,4m7h5ipl1shyavt6vv2r,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",5,3,2,False,PR
10,10,rubenjuarez@yahoo.com,vx4cjc27,fbz9ep,pdxjdwui4,0,card,Voyager,34,0,fulfilled,3,670.664.8168x94985,slovx60t0i558may4ks0,95de:8565:5a66:792c:26e0:6cfb:7d87:11af,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",3,3,1,False,FM
11,11,rubenjuarez@yahoo.com,yiay9b0n,7odnn6,pdxjdwui4,0,card,Voyager,26,0,fulfilled,3,670.664.8168x94985,slovx60t0i558may4ks0,95de:8565:5a66:792c:26e0:6cfb:7d87:11af,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",3,3,1,False,FM
12,12,rubenjuarez@yahoo.com,sn3v0ql2,audx7o,pdxjdwui4,0,card,Voyager,25,0,fulfilled,3,670.664.8168x94985,slovx60t0i558may4ks0,95de:8565:5a66:792c:26e0:6cfb:7d87:11af,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",3,3,1,False,FM
13,13,uchen@malone.com,q8j3dgni,56h7iw,olr4zf09x,0,card,VISA 13 digit,71,0,fulfilled,4,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",7,7,6,True,TN
14,14,uchen@malone.com,xjulqy8x,kowj1v,gehl28i8u,0,card,JCB 16 digit,66,1,fulfilled,4,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",7,7,6,True,TN
15,15,uchen@malone.com,rvm65vr1,wlznfu,gehl28i8u,0,card,JCB 16 digit,69,0,failed,4,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",7,7,6,True,TN
16,16,uchen@malone.com,kckrvagp,hm3rth,76bw9eqg2,0,apple pay,VISA 16 digit,46,1,fulfilled,4,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",7,7,6,True,TN
17,17,uchen@malone.com,2slep8t9,vvq05w,s6escw45g,0,card,JCB 16 digit,68,0,fulfilled,4,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",7,7,6,True,TN
18,18,uchen@malone.com,yd80pfko,xwo0al,76bw9eqg2,0,apple pay,VISA 16 digit,59,0,fulfilled,4,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",7,7,6,True,TN
19,19,uchen@malone.com,ckk3ux58,2528x8,w1i1zq3rg,0,apple pay,American Express,32,0,fulfilled,4,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",7,7,6,True,TN
20,20,robinsoncynthia@dunn.com,67qcpl0r,vq7j5b,n5fj5bc0e,0,card,VISA 16 digit,25,0,pending,5,+65(5)8997489788,hbww39m1wenbq4ymjhsx,43.166.163.164,"65233 Hutchinson Mountains
Martinezside, OR 75588",1,1,2,True,OR
21,21,samuel15@saunders-rhodes.com,9jutaun8,sq7rk9,je76d0ulj,0,apple pay,VISA 13 digit,40,1,fulfilled,6,05045239487,up7afvce5v0omniqlevq,33.67.35.30,"3960 Emily Fort
Staceytown, AR 21817-3325",2,1,2,True,AR
22,22,samuel15@saunders-rhodes.com,lla8uo92,sq7rk9,je76d0ulj,0,apple pay,VISA 13 digit,40,0,fulfilled,6,05045239487,up7afvce5v0omniqlevq,33.67.35.30,"3960 Emily Fort
Staceytown, AR 21817-3325",2,1,2,True,AR
23,23,johnlowery@gmail.com,300mewnx,kanub7,8xex97krx,0,card,VISA 16 digit,65,0,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
31,24,johnlowery@gmail.com,cfoevtai,kanub7,yxsf33ipw,0,bitcoin,Voyager,65,1,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
39,25,johnlowery@gmail.com,kg0emdbe,605pbl,yxsf33ipw,0,bitcoin,Voyager,36,0,failed,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
47,26,johnlowery@gmail.com,crwqqfpi,7fs5td,yxsf33ipw,0,bitcoin,Voyager,68,0,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
55,27,johnlowery@gmail.com,u2xbyl92,ccuh4k,8xex97krx,0,card,VISA 16 digit,74,1,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
63,28,johnlowery@gmail.com,c5w6btep,lajvhn,8xex97krx,0,card,VISA 16 digit,55,0,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
71,152,johnlowery@gmail.com,7sdl8reg,kr2w5f,tfff8yjzo,0,card,American Express,32,0,failed,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
79,153,johnlowery@gmail.com,i25dewqi,kr2w5f,tfff8yjzo,0,card,American Express,32,1,failed,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
87,154,johnlowery@gmail.com,bpvdqkr7,4x7vmr,tfff8yjzo,0,card,American Express,21,0,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
95,234,johnlowery@gmail.com,qenelvvf,3ougge,opyep1aoj,0,card,VISA 16 digit,11,1,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
103,235,johnlowery@gmail.com,w5wkltds,3ougge,opyep1aoj,0,card,VISA 16 digit,11,0,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
111,236,johnlowery@gmail.com,m0vig74t,6p7c0x,opyep1aoj,0,card,VISA 16 digit,42,0,fulfilled,7,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True,WI
